SBY  0:06:07 [cover] Copy '/home/kevin/d/bug-mining-data/data/2022-05-17-cov-full-3/TileAndMemTop.sv' to '/home/kevin/d/bug-mining-data/data/2022-05-17-cov-full-3/cover/src/TileAndMemTop.sv'.
SBY  0:06:07 [cover] Copy '/home/kevin/d/bug-mining-data/data/2022-05-17-cov-full-3/SignalTracker.sv' to '/home/kevin/d/bug-mining-data/data/2022-05-17-cov-full-3/cover/src/SignalTracker.sv'.
SBY  0:06:07 [cover] engine_0: smtbmc boolector
SBY  0:06:07 [cover] base: starting process "cd cover/src; yosys -ql ../model/design.log ../model/design.ys"
SBY  0:06:25 [cover] base: finished (returncode=0)
SBY  0:06:26 [cover] smt2: starting process "cd cover/model; yosys -ql design_smt2.log design_smt2.ys"
SBY  0:06:35 [cover] smt2: finished (returncode=0)
SBY  0:06:35 [cover] engine_0: starting process "cd cover; yosys-smtbmc -s boolector --presat --unroll -c --noprogress -t 100  --append 0 --dump-vcd engine_0/trace%.vcd --dump-vlogtb engine_0/trace%_tb.v --dump-smtc engine_0/trace%.smtc model/design_smt2.smt2"
SBY  0:14:12 [cover] engine_0: ##   0:07:36  Writing trace to VCD file: engine_0/trace36.vcd
SBY  0:14:22 [cover] engine_0: ##   0:07:47  Writing trace to Verilog testbench: engine_0/trace36_tb.v
SBY  0:14:22 [cover] engine_0: ##   0:07:47  Writing trace to constraints file: engine_0/trace36.smtc
SBY  0:14:23 [cover] engine_0: ##   0:07:47  Checking cover reachability in step 14..
SBY  0:14:23 [cover] engine_0: ##   0:07:48  Reached cover statement at SignalTracker.sv:2042.22-2043.87 ($cover$SignalTracker.sv:2042$9867) in step 14.
SBY  0:14:23 [cover] engine_0: ##   0:07:48  Writing trace to VCD file: engine_0/trace37.vcd
SBY  0:14:34 [cover] engine_0: ##   0:07:59  Writing trace to Verilog testbench: engine_0/trace37_tb.v
SBY  0:14:34 [cover] engine_0: ##   0:07:59  Writing trace to constraints file: engine_0/trace37.smtc
SBY  0:14:34 [cover] engine_0: ##   0:07:59  Checking cover reachability in step 14..
SBY  0:14:35 [cover] engine_0: ##   0:08:00  Reached cover statement at SignalTracker.sv:2255.22-2256.94 ($cover$SignalTracker.sv:2255$9938) in step 14.
SBY  0:14:35 [cover] engine_0: ##   0:08:00  Writing trace to VCD file: engine_0/trace38.vcd
SBY  0:14:45 [cover] engine_0: ##   0:08:10  Writing trace to Verilog testbench: engine_0/trace38_tb.v
SBY  0:14:46 [cover] engine_0: ##   0:08:11  Writing trace to constraints file: engine_0/trace38.smtc
SBY  0:14:46 [cover] engine_0: ##   0:08:11  Checking cover reachability in step 14..
SBY  0:14:47 [cover] engine_0: ##   0:08:11  Reached cover statement at SignalTracker.sv:2246.22-2247.94 ($cover$SignalTracker.sv:2246$9935) in step 14.
SBY  0:14:47 [cover] engine_0: ##   0:08:11  Writing trace to VCD file: engine_0/trace39.vcd
SBY  0:14:57 [cover] engine_0: ##   0:08:22  Writing trace to Verilog testbench: engine_0/trace39_tb.v
SBY  0:14:57 [cover] engine_0: ##   0:08:22  Writing trace to constraints file: engine_0/trace39.smtc
SBY  0:14:58 [cover] engine_0: ##   0:08:22  Checking cover reachability in step 14..
SBY  0:14:58 [cover] engine_0: ##   0:08:23  Reached cover statement at SignalTracker.sv:2057.22-2058.87 ($cover$SignalTracker.sv:2057$9872) in step 14.
SBY  0:14:58 [cover] engine_0: ##   0:08:23  Writing trace to VCD file: engine_0/trace40.vcd
SBY  0:15:09 [cover] engine_0: ##   0:08:34  Writing trace to Verilog testbench: engine_0/trace40_tb.v
SBY  0:15:09 [cover] engine_0: ##   0:08:34  Writing trace to constraints file: engine_0/trace40.smtc
SBY  0:15:09 [cover] engine_0: ##   0:08:34  Checking cover reachability in step 14..
SBY  0:15:10 [cover] engine_0: ##   0:08:35  Reached cover statement at SignalTracker.sv:2066.22-2067.87 ($cover$SignalTracker.sv:2066$9875) in step 14.
SBY  0:15:10 [cover] engine_0: ##   0:08:35  Writing trace to VCD file: engine_0/trace41.vcd
SBY  0:15:20 [cover] engine_0: ##   0:08:45  Writing trace to Verilog testbench: engine_0/trace41_tb.v
SBY  0:15:21 [cover] engine_0: ##   0:08:46  Writing trace to constraints file: engine_0/trace41.smtc
SBY  0:15:21 [cover] engine_0: ##   0:08:46  Checking cover reachability in step 14..
SBY  0:15:22 [cover] engine_0: ##   0:08:46  Reached cover statement at SignalTracker.sv:2072.22-2073.87 ($cover$SignalTracker.sv:2072$9877) in step 14.
SBY  0:15:22 [cover] engine_0: ##   0:08:46  Writing trace to VCD file: engine_0/trace42.vcd
SBY  0:15:32 [cover] engine_0: ##   0:08:57  Writing trace to Verilog testbench: engine_0/trace42_tb.v
SBY  0:15:32 [cover] engine_0: ##   0:08:57  Writing trace to constraints file: engine_0/trace42.smtc
SBY  0:15:32 [cover] engine_0: ##   0:08:57  Checking cover reachability in step 14..
SBY  0:15:33 [cover] engine_0: ##   0:08:58  Reached cover statement at SignalTracker.sv:2231.22-2232.93 ($cover$SignalTracker.sv:2231$9930) in step 14.
SBY  0:15:33 [cover] engine_0: ##   0:08:58  Writing trace to VCD file: engine_0/trace43.vcd
SBY  0:15:44 [cover] engine_0: ##   0:09:08  Writing trace to Verilog testbench: engine_0/trace43_tb.v
SBY  0:15:44 [cover] engine_0: ##   0:09:09  Writing trace to constraints file: engine_0/trace43.smtc
SBY  0:15:44 [cover] engine_0: ##   0:09:09  Checking cover reachability in step 14..
SBY  0:15:45 [cover] engine_0: ##   0:09:10  Reached cover statement at SignalTracker.sv:3254.22-3255.77 ($cover$SignalTracker.sv:3254$10271) in step 14.
SBY  0:15:45 [cover] engine_0: ##   0:09:10  Writing trace to VCD file: engine_0/trace44.vcd
SBY  0:15:55 [cover] engine_0: ##   0:09:20  Writing trace to Verilog testbench: engine_0/trace44_tb.v
SBY  0:15:55 [cover] engine_0: ##   0:09:20  Writing trace to constraints file: engine_0/trace44.smtc
SBY  0:15:56 [cover] engine_0: ##   0:09:20  Checking cover reachability in step 14..
SBY  0:15:57 [cover] engine_0: ##   0:09:21  Reached cover statement at SignalTracker.sv:2168.22-2169.86 ($cover$SignalTracker.sv:2168$9909) in step 14.
SBY  0:15:57 [cover] engine_0: ##   0:09:21  Writing trace to VCD file: engine_0/trace45.vcd
SBY  0:16:07 [cover] engine_0: ##   0:09:32  Writing trace to Verilog testbench: engine_0/trace45_tb.v
SBY  0:16:07 [cover] engine_0: ##   0:09:32  Writing trace to constraints file: engine_0/trace45.smtc
SBY  0:16:07 [cover] engine_0: ##   0:09:32  Checking cover reachability in step 14..
SBY  0:16:08 [cover] engine_0: ##   0:09:33  Reached cover statement at SignalTracker.sv:1862.22-1863.90 ($cover$SignalTracker.sv:1862$9807) in step 14.
SBY  0:16:08 [cover] engine_0: ##   0:09:33  Reached cover statement at SignalTracker.sv:776.22-777.93 ($cover$SignalTracker.sv:776$9445) in step 14.
SBY  0:16:08 [cover] engine_0: ##   0:09:33  Writing trace to VCD file: engine_0/trace46.vcd
SBY  0:16:18 [cover] engine_0: ##   0:09:43  Writing trace to Verilog testbench: engine_0/trace46_tb.v
SBY  0:16:19 [cover] engine_0: ##   0:09:43  Writing trace to constraints file: engine_0/trace46.smtc
SBY  0:16:19 [cover] engine_0: ##   0:09:44  Checking cover reachability in step 14..
SBY  0:16:20 [cover] engine_0: ##   0:09:44  Reached cover statement at SignalTracker.sv:2177.22-2178.86 ($cover$SignalTracker.sv:2177$9912) in step 14.
SBY  0:16:20 [cover] engine_0: ##   0:09:44  Reached cover statement at SignalTracker.sv:3404.22-3405.76 ($cover$SignalTracker.sv:3404$10321) in step 14.
SBY  0:16:20 [cover] engine_0: ##   0:09:44  Writing trace to VCD file: engine_0/trace47.vcd
SBY  0:16:30 [cover] engine_0: ##   0:09:55  Writing trace to Verilog testbench: engine_0/trace47_tb.v
SBY  0:16:30 [cover] engine_0: ##   0:09:55  Writing trace to constraints file: engine_0/trace47.smtc
SBY  0:16:30 [cover] engine_0: ##   0:09:55  Checking cover reachability in step 14..
SBY  0:16:31 [cover] engine_0: ##   0:09:56  Reached cover statement at SignalTracker.sv:2186.22-2187.86 ($cover$SignalTracker.sv:2186$9915) in step 14.
SBY  0:16:31 [cover] engine_0: ##   0:09:56  Writing trace to VCD file: engine_0/trace48.vcd
SBY  0:16:42 [cover] engine_0: ##   0:10:06  Writing trace to Verilog testbench: engine_0/trace48_tb.v
SBY  0:16:42 [cover] engine_0: ##   0:10:07  Writing trace to constraints file: engine_0/trace48.smtc
SBY  0:16:42 [cover] engine_0: ##   0:10:07  Checking cover reachability in step 14..
SBY  0:16:43 [cover] engine_0: ##   0:10:08  Reached cover statement at SignalTracker.sv:2195.22-2196.92 ($cover$SignalTracker.sv:2195$9918) in step 14.
SBY  0:16:43 [cover] engine_0: ##   0:10:08  Writing trace to VCD file: engine_0/trace49.vcd
SBY  0:16:53 [cover] engine_0: ##   0:10:18  Writing trace to Verilog testbench: engine_0/trace49_tb.v
SBY  0:16:54 [cover] engine_0: ##   0:10:18  Writing trace to constraints file: engine_0/trace49.smtc
SBY  0:16:54 [cover] engine_0: ##   0:10:19  Checking cover reachability in step 14..
SBY  0:16:55 [cover] engine_0: ##   0:10:19  Reached cover statement at SignalTracker.sv:2201.22-2202.92 ($cover$SignalTracker.sv:2201$9920) in step 14.
SBY  0:16:55 [cover] engine_0: ##   0:10:19  Writing trace to VCD file: engine_0/trace50.vcd
SBY  0:17:05 [cover] engine_0: ##   0:10:30  Writing trace to Verilog testbench: engine_0/trace50_tb.v
SBY  0:17:05 [cover] engine_0: ##   0:10:30  Writing trace to constraints file: engine_0/trace50.smtc
SBY  0:17:06 [cover] engine_0: ##   0:10:30  Checking cover reachability in step 14..
SBY  0:17:06 [cover] engine_0: ##   0:10:31  Reached cover statement at SignalTracker.sv:3260.22-3261.77 ($cover$SignalTracker.sv:3260$10273) in step 14.
SBY  0:17:06 [cover] engine_0: ##   0:10:31  Writing trace to VCD file: engine_0/trace51.vcd
SBY  0:17:17 [cover] engine_0: ##   0:10:41  Writing trace to Verilog testbench: engine_0/trace51_tb.v
SBY  0:17:17 [cover] engine_0: ##   0:10:42  Writing trace to constraints file: engine_0/trace51.smtc
SBY  0:17:17 [cover] engine_0: ##   0:10:42  Checking cover reachability in step 14..
SBY  0:17:18 [cover] engine_0: ##   0:10:43  Reached cover statement at SignalTracker.sv:641.22-642.93 ($cover$SignalTracker.sv:641$9400) in step 14.
SBY  0:17:18 [cover] engine_0: ##   0:10:43  Writing trace to VCD file: engine_0/trace52.vcd
SBY  0:17:28 [cover] engine_0: ##   0:10:53  Writing trace to Verilog testbench: engine_0/trace52_tb.v
SBY  0:17:29 [cover] engine_0: ##   0:10:53  Writing trace to constraints file: engine_0/trace52.smtc
SBY  0:17:29 [cover] engine_0: ##   0:10:54  Checking cover reachability in step 14..
SBY  0:17:30 [cover] engine_0: ##   0:10:55  Reached cover statement at SignalTracker.sv:1022.22-1023.93 ($cover$SignalTracker.sv:1022$9527) in step 14.
SBY  0:17:30 [cover] engine_0: ##   0:10:55  Writing trace to VCD file: engine_0/trace53.vcd
SBY  0:17:40 [cover] engine_0: ##   0:11:05  Writing trace to Verilog testbench: engine_0/trace53_tb.v
SBY  0:17:41 [cover] engine_0: ##   0:11:05  Writing trace to constraints file: engine_0/trace53.smtc
SBY  0:17:41 [cover] engine_0: ##   0:11:06  Checking cover reachability in step 14..
SBY  0:17:42 [cover] engine_0: ##   0:11:06  Reached cover statement at SignalTracker.sv:3266.22-3267.77 ($cover$SignalTracker.sv:3266$10275) in step 14.
SBY  0:17:42 [cover] engine_0: ##   0:11:06  Writing trace to VCD file: engine_0/trace54.vcd
SBY  0:17:52 [cover] engine_0: ##   0:11:17  Writing trace to Verilog testbench: engine_0/trace54_tb.v
SBY  0:17:52 [cover] engine_0: ##   0:11:17  Writing trace to constraints file: engine_0/trace54.smtc
SBY  0:17:53 [cover] engine_0: ##   0:11:17  Checking cover reachability in step 14..
SBY  0:17:53 [cover] engine_0: ##   0:11:18  Reached cover statement at SignalTracker.sv:1514.22-1515.85 ($cover$SignalTracker.sv:1514$9691) in step 14.
SBY  0:17:53 [cover] engine_0: ##   0:11:18  Reached cover statement at SignalTracker.sv:1529.22-1530.85 ($cover$SignalTracker.sv:1529$9696) in step 14.
SBY  0:17:53 [cover] engine_0: ##   0:11:18  Reached cover statement at SignalTracker.sv:3146.22-3147.97 ($cover$SignalTracker.sv:3146$10235) in step 14.
SBY  0:17:53 [cover] engine_0: ##   0:11:18  Writing trace to VCD file: engine_0/trace55.vcd
SBY  0:18:04 [cover] engine_0: ##   0:11:28  Writing trace to Verilog testbench: engine_0/trace55_tb.v
SBY  0:18:04 [cover] engine_0: ##   0:11:29  Writing trace to constraints file: engine_0/trace55.smtc
SBY  0:18:04 [cover] engine_0: ##   0:11:29  Checking cover reachability in step 14..
SBY  0:18:05 [cover] engine_0: ##   0:11:30  Reached cover statement at SignalTracker.sv:977.22-978.92 ($cover$SignalTracker.sv:977$9512) in step 14.
SBY  0:18:05 [cover] engine_0: ##   0:11:30  Writing trace to VCD file: engine_0/trace56.vcd
SBY  0:18:15 [cover] engine_0: ##   0:11:40  Writing trace to Verilog testbench: engine_0/trace56_tb.v
SBY  0:18:16 [cover] engine_0: ##   0:11:41  Writing trace to constraints file: engine_0/trace56.smtc
SBY  0:18:16 [cover] engine_0: ##   0:11:41  Checking cover reachability in step 14..
SBY  0:18:17 [cover] engine_0: ##   0:11:42  Reached cover statement at SignalTracker.sv:1841.22-1842.90 ($cover$SignalTracker.sv:1841$9800) in step 14.
SBY  0:18:17 [cover] engine_0: ##   0:11:42  Reached cover statement at SignalTracker.sv:1853.22-1854.90 ($cover$SignalTracker.sv:1853$9804) in step 14.
SBY  0:18:17 [cover] engine_0: ##   0:11:42  Reached cover statement at SignalTracker.sv:842.22-843.93 ($cover$SignalTracker.sv:842$9467) in step 14.
SBY  0:18:17 [cover] engine_0: ##   0:11:42  Writing trace to VCD file: engine_0/trace57.vcd
SBY  0:18:27 [cover] engine_0: ##   0:11:52  Writing trace to Verilog testbench: engine_0/trace57_tb.v
SBY  0:18:28 [cover] engine_0: ##   0:11:52  Writing trace to constraints file: engine_0/trace57.smtc
SBY  0:18:28 [cover] engine_0: ##   0:11:53  Checking cover reachability in step 14..
SBY  0:18:29 [cover] engine_0: ##   0:11:53  Reached cover statement at SignalTracker.sv:2216.22-2217.94 ($cover$SignalTracker.sv:2216$9925) in step 14.
SBY  0:18:29 [cover] engine_0: ##   0:11:53  Writing trace to VCD file: engine_0/trace58.vcd
SBY  0:18:39 [cover] engine_0: ##   0:12:04  Writing trace to Verilog testbench: engine_0/trace58_tb.v
SBY  0:18:39 [cover] engine_0: ##   0:12:04  Writing trace to constraints file: engine_0/trace58.smtc
SBY  0:18:40 [cover] engine_0: ##   0:12:04  Checking cover reachability in step 14..
SBY  0:18:40 [cover] engine_0: ##   0:12:05  Reached cover statement at SignalTracker.sv:1106.22-1107.93 ($cover$SignalTracker.sv:1106$9555) in step 14.
SBY  0:18:40 [cover] engine_0: ##   0:12:05  Writing trace to VCD file: engine_0/trace59.vcd
SBY  0:18:51 [cover] engine_0: ##   0:12:15  Writing trace to Verilog testbench: engine_0/trace59_tb.v
SBY  0:18:51 [cover] engine_0: ##   0:12:16  Writing trace to constraints file: engine_0/trace59.smtc
SBY  0:18:51 [cover] engine_0: ##   0:12:16  Checking cover reachability in step 14..
SBY  0:18:52 [cover] engine_0: ##   0:12:17  Reached cover statement at SignalTracker.sv:1085.22-1086.93 ($cover$SignalTracker.sv:1085$9548) in step 14.
SBY  0:18:52 [cover] engine_0: ##   0:12:17  Reached cover statement at SignalTracker.sv:1238.22-1239.86 ($cover$SignalTracker.sv:1238$9599) in step 14.
SBY  0:18:52 [cover] engine_0: ##   0:12:17  Writing trace to VCD file: engine_0/trace60.vcd
SBY  0:19:02 [cover] engine_0: ##   0:12:27  Writing trace to Verilog testbench: engine_0/trace60_tb.v
SBY  0:19:03 [cover] engine_0: ##   0:12:27  Writing trace to constraints file: engine_0/trace60.smtc
SBY  0:19:03 [cover] engine_0: ##   0:12:28  Checking cover reachability in step 14..
SBY  0:19:04 [cover] engine_0: ##   0:12:29  Reached cover statement at SignalTracker.sv:1826.22-1827.90 ($cover$SignalTracker.sv:1826$9795) in step 14.
SBY  0:19:04 [cover] engine_0: ##   0:12:29  Reached cover statement at SignalTracker.sv:740.22-741.93 ($cover$SignalTracker.sv:740$9433) in step 14.
SBY  0:19:04 [cover] engine_0: ##   0:12:29  Writing trace to VCD file: engine_0/trace61.vcd
SBY  0:19:14 [cover] engine_0: ##   0:12:39  Writing trace to Verilog testbench: engine_0/trace61_tb.v
SBY  0:19:15 [cover] engine_0: ##   0:12:39  Writing trace to constraints file: engine_0/trace61.smtc
SBY  0:19:15 [cover] engine_0: ##   0:12:40  Checking cover reachability in step 14..
SBY  0:19:16 [cover] engine_0: ##   0:12:40  Reached cover statement at SignalTracker.sv:3587.22-3588.76 ($cover$SignalTracker.sv:3587$10382) in step 14.
SBY  0:19:16 [cover] engine_0: ##   0:12:40  Writing trace to VCD file: engine_0/trace62.vcd
SBY  0:19:26 [cover] engine_0: ##   0:12:51  Writing trace to Verilog testbench: engine_0/trace62_tb.v
SBY  0:19:26 [cover] engine_0: ##   0:12:51  Writing trace to constraints file: engine_0/trace62.smtc
SBY  0:19:26 [cover] engine_0: ##   0:12:51  Checking cover reachability in step 14..
SBY  0:19:29 [cover] engine_0: ##   0:12:54  Reached cover statement at SignalTracker.sv:1379.22-1380.87 ($cover$SignalTracker.sv:1379$9646) in step 14.
SBY  0:19:29 [cover] engine_0: ##   0:12:54  Writing trace to VCD file: engine_0/trace63.vcd
SBY  0:19:39 [cover] engine_0: ##   0:13:04  Writing trace to Verilog testbench: engine_0/trace63_tb.v
SBY  0:19:40 [cover] engine_0: ##   0:13:04  Writing trace to constraints file: engine_0/trace63.smtc
SBY  0:19:40 [cover] engine_0: ##   0:13:05  Checking cover reachability in step 14..
SBY  0:19:41 [cover] engine_0: ##   0:13:05  Reached cover statement at SignalTracker.sv:1790.22-1791.90 ($cover$SignalTracker.sv:1790$9783) in step 14.
SBY  0:19:41 [cover] engine_0: ##   0:13:05  Reached cover statement at SignalTracker.sv:791.22-792.93 ($cover$SignalTracker.sv:791$9450) in step 14.
SBY  0:19:41 [cover] engine_0: ##   0:13:06  Writing trace to VCD file: engine_0/trace64.vcd
SBY  0:19:51 [cover] engine_0: ##   0:13:16  Writing trace to Verilog testbench: engine_0/trace64_tb.v
SBY  0:19:51 [cover] engine_0: ##   0:13:16  Writing trace to constraints file: engine_0/trace64.smtc
SBY  0:19:51 [cover] engine_0: ##   0:13:16  Checking cover reachability in step 14..
SBY  0:19:52 [cover] engine_0: ##   0:13:17  Reached cover statement at SignalTracker.sv:347.22-348.69 ($cover$SignalTracker.sv:347$9302) in step 14.
SBY  0:19:52 [cover] engine_0: ##   0:13:17  Reached cover statement at SignalTracker.sv:350.22-351.69 ($cover$SignalTracker.sv:350$9303) in step 14.
SBY  0:19:52 [cover] engine_0: ##   0:13:17  Reached cover statement at SignalTracker.sv:353.22-354.70 ($cover$SignalTracker.sv:353$9304) in step 14.
SBY  0:19:52 [cover] engine_0: ##   0:13:17  Reached cover statement at SignalTracker.sv:4082.22-4083.84 ($cover$SignalTracker.sv:4082$10547) in step 14.
SBY  0:19:52 [cover] engine_0: ##   0:13:17  Reached cover statement at SignalTracker.sv:4085.22-4086.84 ($cover$SignalTracker.sv:4085$10548) in step 14.
SBY  0:19:52 [cover] engine_0: ##   0:13:17  Reached cover statement at SignalTracker.sv:4088.22-4089.85 ($cover$SignalTracker.sv:4088$10549) in step 14.
SBY  0:19:52 [cover] engine_0: ##   0:13:17  Writing trace to VCD file: engine_0/trace65.vcd
SBY  0:20:03 [cover] engine_0: ##   0:13:27  Writing trace to Verilog testbench: engine_0/trace65_tb.v
SBY  0:20:03 [cover] engine_0: ##   0:13:28  Writing trace to constraints file: engine_0/trace65.smtc
SBY  0:20:03 [cover] engine_0: ##   0:13:28  Checking cover reachability in step 14..
SBY  0:20:04 [cover] engine_0: ##   0:13:29  Reached cover statement at SignalTracker.sv:1130.22-1131.93 ($cover$SignalTracker.sv:1130$9563) in step 14.
SBY  0:20:04 [cover] engine_0: ##   0:13:29  Writing trace to VCD file: engine_0/trace66.vcd
SBY  0:20:14 [cover] engine_0: ##   0:13:39  Writing trace to Verilog testbench: engine_0/trace66_tb.v
SBY  0:20:15 [cover] engine_0: ##   0:13:39  Writing trace to constraints file: engine_0/trace66.smtc
SBY  0:20:15 [cover] engine_0: ##   0:13:40  Checking cover reachability in step 14..
SBY  0:20:16 [cover] engine_0: ##   0:13:41  Reached cover statement at SignalTracker.sv:860.22-861.93 ($cover$SignalTracker.sv:860$9473) in step 14.
SBY  0:20:16 [cover] engine_0: ##   0:13:41  Writing trace to VCD file: engine_0/trace67.vcd
SBY  0:20:26 [cover] engine_0: ##   0:13:51  Writing trace to Verilog testbench: engine_0/trace67_tb.v
SBY  0:20:27 [cover] engine_0: ##   0:13:51  Writing trace to constraints file: engine_0/trace67.smtc
SBY  0:20:27 [cover] engine_0: ##   0:13:52  Checking cover reachability in step 14..
SBY  0:20:28 [cover] engine_0: ##   0:13:52  Reached cover statement at SignalTracker.sv:3593.22-3594.76 ($cover$SignalTracker.sv:3593$10384) in step 14.
SBY  0:20:28 [cover] engine_0: ##   0:13:52  Writing trace to VCD file: engine_0/trace68.vcd
SBY  0:20:38 [cover] engine_0: ##   0:14:03  Writing trace to Verilog testbench: engine_0/trace68_tb.v
SBY  0:20:38 [cover] engine_0: ##   0:14:03  Writing trace to constraints file: engine_0/trace68.smtc
SBY  0:20:39 [cover] engine_0: ##   0:14:03  Checking cover reachability in step 14..
SBY  0:20:40 [cover] engine_0: ##   0:14:04  Reached cover statement at SignalTracker.sv:356.22-357.77 ($cover$SignalTracker.sv:356$9305) in step 14.
SBY  0:20:40 [cover] engine_0: ##   0:14:04  Reached cover statement at SignalTracker.sv:4091.22-4092.92 ($cover$SignalTracker.sv:4091$10550) in step 14.
SBY  0:20:40 [cover] engine_0: ##   0:14:04  Writing trace to VCD file: engine_0/trace69.vcd
SBY  0:20:50 [cover] engine_0: ##   0:14:15  Writing trace to Verilog testbench: engine_0/trace69_tb.v
SBY  0:20:50 [cover] engine_0: ##   0:14:15  Writing trace to constraints file: engine_0/trace69.smtc
SBY  0:20:50 [cover] engine_0: ##   0:14:15  Checking cover reachability in step 14..
SBY  0:20:51 [cover] engine_0: ##   0:14:16  Reached cover statement at SignalTracker.sv:1739.22-1740.91 ($cover$SignalTracker.sv:1739$9766) in step 14.
SBY  0:20:51 [cover] engine_0: ##   0:14:16  Reached cover statement at SignalTracker.sv:674.22-675.93 ($cover$SignalTracker.sv:674$9411) in step 14.
SBY  0:20:51 [cover] engine_0: ##   0:14:16  Writing trace to VCD file: engine_0/trace70.vcd
SBY  0:21:02 [cover] engine_0: ##   0:14:26  Writing trace to Verilog testbench: engine_0/trace70_tb.v
SBY  0:21:02 [cover] engine_0: ##   0:14:27  Writing trace to constraints file: engine_0/trace70.smtc
SBY  0:21:02 [cover] engine_0: ##   0:14:27  Checking cover reachability in step 14..
SBY  0:21:03 [cover] engine_0: ##   0:14:28  Reached cover statement at SignalTracker.sv:1730.22-1731.91 ($cover$SignalTracker.sv:1730$9763) in step 14.
SBY  0:21:03 [cover] engine_0: ##   0:14:28  Reached cover statement at SignalTracker.sv:692.22-693.93 ($cover$SignalTracker.sv:692$9417) in step 14.
SBY  0:21:03 [cover] engine_0: ##   0:14:28  Writing trace to VCD file: engine_0/trace71.vcd
SBY  0:21:13 [cover] engine_0: ##   0:14:38  Writing trace to Verilog testbench: engine_0/trace71_tb.v
SBY  0:21:14 [cover] engine_0: ##   0:14:38  Writing trace to constraints file: engine_0/trace71.smtc
SBY  0:21:14 [cover] engine_0: ##   0:14:39  Checking cover reachability in step 14..
SBY  0:21:15 [cover] engine_0: ##   0:14:39  Reached cover statement at SignalTracker.sv:1751.22-1752.91 ($cover$SignalTracker.sv:1751$9770) in step 14.
SBY  0:21:15 [cover] engine_0: ##   0:14:39  Reached cover statement at SignalTracker.sv:662.22-663.93 ($cover$SignalTracker.sv:662$9407) in step 14.
SBY  0:21:15 [cover] engine_0: ##   0:14:39  Writing trace to VCD file: engine_0/trace72.vcd
SBY  0:21:25 [cover] engine_0: ##   0:14:50  Writing trace to Verilog testbench: engine_0/trace72_tb.v
SBY  0:21:25 [cover] engine_0: ##   0:14:50  Writing trace to constraints file: engine_0/trace72.smtc
SBY  0:21:25 [cover] engine_0: ##   0:14:50  Checking cover reachability in step 14..
SBY  0:21:26 [cover] engine_0: ##   0:14:51  Reached cover statement at SignalTracker.sv:707.22-708.93 ($cover$SignalTracker.sv:707$9422) in step 14.
SBY  0:21:26 [cover] engine_0: ##   0:14:51  Writing trace to VCD file: engine_0/trace73.vcd
SBY  0:21:37 [cover] engine_0: ##   0:15:01  Writing trace to Verilog testbench: engine_0/trace73_tb.v
SBY  0:21:37 [cover] engine_0: ##   0:15:02  Writing trace to constraints file: engine_0/trace73.smtc
SBY  0:21:37 [cover] engine_0: ##   0:15:02  Checking cover reachability in step 14..
SBY  0:21:38 [cover] engine_0: ##   0:15:03  Reached cover statement at SignalTracker.sv:1775.22-1776.90 ($cover$SignalTracker.sv:1775$9778) in step 14.
SBY  0:21:38 [cover] engine_0: ##   0:15:03  Writing trace to VCD file: engine_0/trace74.vcd
SBY  0:21:49 [cover] engine_0: ##   0:15:13  Writing trace to Verilog testbench: engine_0/trace74_tb.v
SBY  0:21:49 [cover] engine_0: ##   0:15:14  Writing trace to constraints file: engine_0/trace74.smtc
SBY  0:21:49 [cover] engine_0: ##   0:15:14  Checking cover reachability in step 14..
SBY  0:21:50 [cover] engine_0: ##   0:15:15  Reached cover statement at SignalTracker.sv:899.22-900.93 ($cover$SignalTracker.sv:899$9486) in step 14.
SBY  0:21:50 [cover] engine_0: ##   0:15:15  Writing trace to VCD file: engine_0/trace75.vcd
SBY  0:22:00 [cover] engine_0: ##   0:15:25  Writing trace to Verilog testbench: engine_0/trace75_tb.v
SBY  0:22:00 [cover] engine_0: ##   0:15:25  Writing trace to constraints file: engine_0/trace75.smtc
SBY  0:22:01 [cover] engine_0: ##   0:15:25  Checking cover reachability in step 14..
SBY  0:22:02 [cover] engine_0: ##   0:15:26  Reached cover statement at SignalTracker.sv:1043.22-1044.93 ($cover$SignalTracker.sv:1043$9534) in step 14.
SBY  0:22:02 [cover] engine_0: ##   0:15:26  Writing trace to VCD file: engine_0/trace76.vcd
SBY  0:22:12 [cover] engine_0: ##   0:15:37  Writing trace to Verilog testbench: engine_0/trace76_tb.v
SBY  0:22:12 [cover] engine_0: ##   0:15:37  Writing trace to constraints file: engine_0/trace76.smtc
SBY  0:22:12 [cover] engine_0: ##   0:15:37  Checking cover reachability in step 14..
SBY  0:22:13 [cover] engine_0: ##   0:15:38  Reached cover statement at SignalTracker.sv:1487.22-1488.83 ($cover$SignalTracker.sv:1487$9682) in step 14.
SBY  0:22:13 [cover] engine_0: ##   0:15:38  Writing trace to VCD file: engine_0/trace77.vcd
SBY  0:22:24 [cover] engine_0: ##   0:15:48  Writing trace to Verilog testbench: engine_0/trace77_tb.v
SBY  0:22:24 [cover] engine_0: ##   0:15:49  Writing trace to constraints file: engine_0/trace77.smtc
SBY  0:22:24 [cover] engine_0: ##   0:15:49  Checking cover reachability in step 14..
SBY  0:22:25 [cover] engine_0: ##   0:15:50  Reached cover statement at SignalTracker.sv:1145.22-1146.93 ($cover$SignalTracker.sv:1145$9568) in step 14.
